latitude,longitude,region,season,elevation,slope_degrees,vegetation_index,water_index,urban_proximity,rainfall_24h_mm,rainfall_72h_mm,rainfall_7d_mm,soil_moisture_percent,river_level_m,distance_to_river_km,drainage_capacity,historical_flood_frequency,population_density,risk_level
24.5046,94.1658,Northeast,Post-Monsoon,297,2.59,0.661,0.592,50.4,47.2,87.1,212.1,43.8,2.36,4.01,0.87,2,210,Moderate
30.1778,75.3597,North,Pre-Monsoon,420,6.89,0.824,0.264,12.0,7.3,12.5,30.1,24.0,2.61,8.72,0.428,2,98,Low
14.8533,76.5022,South,Monsoon,391,10.54,0.674,0.673,7.9,67.5,92.6,208.7,39.0,4.63,2.99,0.579,1,3687,High
25.654,80.3737,Central,Monsoon,359,12.07,0.719,0.632,23.4,10.2,68.4,195.1,45.7,3.1,5.27,0.323,0,28,Low
23.1718,89.2698,East,Pre-Monsoon,67,4.91,0.182,0.454,23.4,12.3,43.1,88.6,24.0,3.12,8.23,0.569,2,620,Moderate
21.4618,87.0189,East,Post-Monsoon,204,8.22,0.235,0.99,27.6,66.4,188.4,334.8,56.3,4.85,6.68,0.595,0,278,High
24.4031,94.0684,Northeast,Pre-Monsoon,482,7.35,0.525,0.296,27.0,9.7,18.9,38.5,22.1,3.6,4.2,0.8,4,928,Moderate
22.7616,88.5009,East,Winter,42,14.32,0.491,0.325,24.6,7.4,20.8,42.1,20.5,3.13,18.61,0.244,0,747,Low
21.4048,70.9377,West,Monsoon,97,1.29,0.603,0.854,12.1,35.0,85.6,257.4,58.9,2.09,18.33,0.448,0,7027,High
18.6946,75.3542,West,Monsoon,340,3.06,0.613,0.462,4.6,28.9,93.7,162.0,40.7,3.75,36.98,0.187,1,472,Moderate
22.0045,91.1592,East,Winter,28,1.16,0.646,0.357,13.0,2.3,3.8,13.8,22.9,1.71,16.07,0.402,1,1926,Moderate
21.8378,76.3475,Central,Monsoon,690,7.21,0.552,0.99,8.8,98.3,305.1,613.9,61.2,5.47,15.11,0.38,0,354,Moderate
21.2882,77.9482,Central,Post-Monsoon,590,6.34,0.595,0.45,33.6,21.4,51.0,140.0,46.1,2.25,9.43,0.665,2,113,Low
21.2209,75.2451,West,Post-Monsoon,503,4.29,0.644,0.456,37.8,27.7,92.5,211.6,34.6,2.24,3.49,0.374,1,1930,Moderate
22.3363,76.4656,Central,Winter,445,2.33,0.853,0.414,36.0,18.6,67.7,147.3,18.8,1.95,4.31,0.451,2,309,Low
24.4631,87.6801,East,Pre-Monsoon,129,6.97,0.448,0.316,26.9,11.1,52.3,75.9,27.6,1.94,1.64,0.208,4,495,Moderate
26.9554,79.329,North,Pre-Monsoon,213,2.62,0.617,0.571,9.8,14.0,49.1,121.8,42.4,3.02,9.86,0.644,0,730,Moderate
14.2955,79.7836,South,Winter,21,3.17,0.516,0.045,13.3,0.4,1.6,11.0,16.7,1.93,20.44,0.669,0,979,Low
25.1115,93.4684,Northeast,Pre-Monsoon,388,3.33,0.407,0.278,5.4,1.8,14.7,31.8,24.0,1.63,4.99,0.505,3,946,Moderate
27.8871,79.7489,North,Post-Monsoon,172,8.84,0.717,0.37,7.2,21.1,44.6,108.9,33.8,1.09,7.26,0.637,1,1361,Low
25.716,87.3893,East,Post-Monsoon,110,3.73,0.716,0.349,17.6,8.4,26.2,75.3,29.3,2.73,16.68,0.606,2,176,Low
23.1086,72.2601,West,Monsoon,501,1.69,0.707,0.706,8.4,57.9,145.3,260.2,54.0,0.99,15.29,0.72,2,701,Moderate
21.0243,80.2437,Central,Post-Monsoon,5,3.46,0.844,0.596,16.0,38.0,113.2,181.2,41.5,2.8,3.49,0.616,4,72,High
30.2967,75.3307,North,Winter,162,3.79,0.726,0.38,27.4,4.3,9.3,17.7,13.5,2.09,3.96,0.464,4,817,Moderate
21.0901,72.3479,West,Pre-Monsoon,175,2.8,0.637,0.435,6.1,16.1,28.7,63.9,25.7,3.59,15.83,0.195,0,341,Moderate
21.6355,78.8209,Central,Post-Monsoon,468,8.09,0.861,0.308,16.4,18.8,47.6,93.7,35.3,1.14,14.09,0.332,2,1352,Low
18.4109,72.9675,West,Post-Monsoon,184,2.54,0.418,0.552,12.8,49.4,120.9,198.4,39.1,1.64,11.08,0.387,0,1072,Moderate
26.912,75.7651,North,Monsoon,740,2.93,0.667,0.551,19.0,14.7,43.9,131.1,50.7,2.67,14.78,0.766,1,136,Low
21.838,91.695,East,Winter,104,21.27,0.33,0.241,28.5,9.9,28.4,60.9,30.4,0.84,1.6,0.597,4,72,Low
18.1879,69.5893,West,Monsoon,220,2.46,0.658,0.538,19.9,49.1,108.2,203.1,55.3,2.71,4.86,0.77,2,124,Moderate
23.1629,70.7721,West,Pre-Monsoon,739,0.96,0.492,0.43,36.6,18.7,55.5,85.0,39.2,2.41,1.63,0.59,1,133,Low
23.1314,76.6642,Central,Winter,22,1.64,0.407,0.433,8.6,14.0,36.3,66.8,10.1,3.51,13.12,0.909,0,206,Low
15.7703,74.7096,South,Winter,966,2.77,0.844,0.416,19.2,6.3,13.9,46.9,19.0,2.58,1.31,0.285,5,1361,Moderate
11.8762,77.863,South,Pre-Monsoon,406,3.81,0.48,0.447,33.0,10.8,41.5,120.6,19.9,2.5,10.25,0.663,3,440,Low
24.9178,94.3073,Northeast,Post-Monsoon,23,6.55,0.794,0.432,8.6,17.8,74.7,203.1,38.5,2.48,15.67,0.537,0,402,Low
19.3457,73.0599,West,Pre-Monsoon,95,1.46,0.839,0.61,6.2,24.2,78.2,130.9,34.3,2.79,4.24,0.349,2,1095,High
21.1542,71.2482,West,Pre-Monsoon,252,8.21,0.72,0.348,26.0,31.4,97.4,162.5,19.8,2.64,17.17,0.057,0,1499,Low
24.0161,91.105,Northeast,Monsoon,1671,4.53,0.785,0.534,11.4,12.9,75.1,164.4,51.1,3.59,4.11,0.3,3,216,High
24.3493,87.3384,East,Winter,133,1.4,0.38,0.58,12.5,21.7,59.4,135.5,33.5,2.89,1.99,0.681,4,1897,High
13.3072,74.3615,South,Pre-Monsoon,911,6.76,0.749,0.443,4.5,21.2,55.7,99.5,25.7,3.85,19.32,0.426,0,773,Low
24.8222,78.8349,Central,Pre-Monsoon,601,6.12,0.45,0.247,40.4,1.0,3.7,17.0,25.7,1.39,6.93,0.531,2,224,Low
31.0983,78.8006,North,Post-Monsoon,334,2.75,0.343,0.48,23.4,39.4,81.2,132.2,34.4,2.93,3.45,0.516,3,284,Moderate
22.6607,70.4937,West,Monsoon,516,2.31,0.872,0.99,12.1,105.2,334.9,700.0,94.4,3.73,3.22,0.808,2,907,Severe
24.9594,91.0165,East,Pre-Monsoon,19,4.75,0.139,0.439,23.7,28.6,47.3,83.4,27.2,3.62,5.38,0.558,2,1886,High
28.7363,79.8216,North,Monsoon,362,9.84,0.59,0.358,19.3,20.1,37.7,119.0,51.0,1.38,9.17,0.285,1,459,Low
19.5193,73.5315,West,Post-Monsoon,69,4.43,0.27,0.729,9.0,66.3,114.3,237.4,59.2,2.73,12.12,0.545,1,155,High
22.5901,86.248,East,Post-Monsoon,29,6.57,0.615,0.624,18.8,63.9,103.0,197.6,48.8,2.77,6.86,0.709,2,323,Moderate
22.0686,76.0052,Central,Post-Monsoon,607,2.32,0.383,0.286,23.8,11.5,59.1,116.3,40.4,2.19,20.78,0.278,1,1349,Low
27.5614,92.6177,Northeast,Pre-Monsoon,702,2.49,0.513,0.577,19.5,27.6,47.9,128.2,31.6,3.02,1.4,0.691,4,85,Moderate
25.2483,82.6036,Central,Monsoon,412,4.13,0.56,0.99,6.7,67.3,262.9,650.3,77.3,3.45,11.05,0.332,2,823,Severe
23.4127,90.5421,East,Post-Monsoon,199,4.67,0.593,0.327,28.7,10.1,34.1,117.1,36.3,2.97,17.97,0.372,3,64,Low
22.5117,89.3071,East,Monsoon,97,3.16,0.549,0.683,44.2,70.8,166.9,293.6,65.4,3.58,20.69,0.711,0,314,Moderate
22.6103,85.8414,East,Pre-Monsoon,164,5.11,0.704,0.47,17.1,21.9,49.1,100.1,24.3,2.92,6.3,0.948,4,250,Moderate
29.5159,77.8981,North,Monsoon,5,4.02,0.652,0.764,28.7,30.2,107.3,284.0,48.0,3.35,6.04,0.478,1,762,High
24.5059,93.8622,Northeast,Monsoon,707,8.31,0.297,0.99,9.6,205.3,379.6,856.4,94.4,4.91,10.86,0.527,3,580,High
22.4247,72.9651,West,Pre-Monsoon,392,10.38,0.315,0.217,15.3,9.0,31.8,79.9,13.5,1.87,7.55,0.707,3,242,Low
23.1235,85.4476,East,Winter,220,2.58,0.579,0.228,17.4,16.8,32.0,45.3,25.6,3.19,6.31,0.167,0,1335,Moderate
25.9395,78.9098,Central,Monsoon,588,0.98,0.27,0.646,2.4,51.8,132.0,285.1,56.3,3.13,27.41,0.48,0,304,Moderate
18.4518,71.2895,West,Post-Monsoon,5,0.88,0.634,0.39,12.2,11.3,28.5,51.8,36.0,1.87,6.96,0.832,2,244,Moderate
26.4824,76.6555,North,Pre-Monsoon,72,1.03,0.606,0.346,35.4,14.1,39.9,66.1,30.2,3.22,10.47,0.953,0,402,Moderate
31.727,78.0475,North,Post-Monsoon,311,2.98,0.536,0.432,11.2,20.6,48.0,113.7,18.0,2.34,8.3,0.516,3,460,Low
15.1881,78.1095,South,Monsoon,233,0.82,0.251,0.99,21.5,168.6,312.2,727.7,76.7,5.32,17.87,0.744,1,178,High
23.3209,81.3272,Central,Winter,633,4.43,0.684,0.292,17.0,16.6,39.2,94.1,12.3,2.54,14.5,0.836,2,60,Low
22.068,87.0882,East,Monsoon,186,7.29,0.437,0.55,18.1,15.6,60.0,241.6,44.1,2.86,2.87,0.222,7,286,High
27.9575,92.5311,Northeast,Post-Monsoon,1111,6.47,0.452,0.523,54.4,19.8,39.4,118.3,46.3,2.43,16.17,0.428,0,1612,Low
25.9607,81.6701,Central,Monsoon,425,4.34,0.612,0.736,20.9,23.4,70.4,242.5,49.8,2.1,5.24,0.485,0,429,Low
23.8891,80.4393,Central,Post-Monsoon,367,5.71,0.69,0.284,41.6,1.8,15.3,39.7,31.0,2.06,1.49,0.714,1,461,Low
23.4183,89.6022,East,Winter,5,2.64,0.34,0.36,7.7,17.9,39.5,98.0,31.5,3.77,5.71,0.248,0,2173,High
31.4452,78.6817,North,Post-Monsoon,215,4.61,0.553,0.522,11.8,29.9,78.2,115.2,44.8,2.72,4.99,0.594,4,379,Moderate
21.3011,80.7107,Central,Post-Monsoon,94,3.34,0.429,0.41,4.3,9.4,55.9,132.9,39.3,2.46,6.4,0.739,0,354,Moderate
25.2657,87.5208,East,Winter,100,3.2,0.76,0.504,15.2,4.5,16.0,39.7,22.2,2.44,11.93,0.461,2,161,Low
13.5809,77.3579,South,Winter,669,9.43,0.418,0.194,24.2,1.2,5.8,22.8,18.6,3.6,8.52,0.809,1,396,Low
21.5528,79.429,Central,Pre-Monsoon,318,13.37,0.603,0.145,11.2,6.4,23.2,50.2,13.2,2.31,19.6,0.201,0,1218,Low
27.1405,74.6759,North,Pre-Monsoon,348,1.21,0.556,0.101,5.3,15.3,32.5,83.4,36.4,1.4,8.29,0.374,1,6678,Low
23.5647,79.2596,Central,Monsoon,171,6.2,0.611,0.99,31.5,172.8,379.8,869.4,81.7,5.29,10.68,0.161,4,2078,Severe
25.0557,95.7078,Northeast,Winter,5,3.22,0.475,0.444,11.4,3.2,15.2,47.8,18.1,2.93,5.03,0.453,1,213,Moderate
15.7136,78.3615,South,Monsoon,251,1.74,0.445,0.907,10.0,65.5,189.4,372.9,64.3,4.36,3.18,0.326,1,964,Severe
22.4917,75.5617,West,Monsoon,376,8.14,0.656,0.99,23.5,159.5,403.2,717.1,78.0,5.25,7.16,0.292,1,143,High
25.6091,78.4476,Central,Monsoon,168,4.28,0.384,0.505,11.9,44.2,125.8,278.7,52.1,2.55,15.39,0.079,1,662,High
18.3839,74.4438,West,Pre-Monsoon,343,1.87,0.183,0.035,9.6,9.4,18.7,46.7,31.0,1.02,15.38,0.585,0,119,Low
21.4924,76.5699,Central,Pre-Monsoon,231,4.82,0.498,0.341,20.4,13.1,30.3,69.6,29.7,4.28,36.7,0.817,0,1901,Low
23.8586,78.7957,Central,Pre-Monsoon,5,3.3,0.539,0.17,1.4,11.9,26.1,42.4,5.0,3.15,6.8,0.567,3,663,High
25.055,79.7001,Central,Pre-Monsoon,625,5.97,0.424,0.339,11.6,21.2,61.6,91.9,27.9,2.5,2.1,0.674,2,243,Low
22.7601,86.8981,East,Post-Monsoon,204,9.52,0.59,0.99,21.4,146.6,299.4,542.5,65.9,4.91,4.48,0.498,3,298,Severe
29.9786,76.6118,North,Monsoon,345,4.47,0.442,0.581,27.5,24.7,67.4,120.3,64.6,2.77,6.19,0.184,2,1673,Moderate
26.6181,89.073,East,Pre-Monsoon,157,7.33,0.719,0.362,20.9,5.0,12.2,34.3,17.2,2.51,9.4,0.369,3,145,Low
19.6628,73.173,West,Monsoon,369,0.59,0.463,0.563,8.3,17.3,74.3,200.9,54.1,3.01,18.08,0.662,1,46,Moderate
19.5402,70.4663,West,Monsoon,121,0.27,0.481,0.99,11.5,73.3,168.0,512.4,62.0,3.39,8.08,0.775,3,285,High
9.9644,78.5049,South,Monsoon,966,4.64,0.839,0.654,12.1,60.7,204.2,254.8,53.3,4.05,2.24,0.606,3,83,High
23.3485,73.5367,West,Monsoon,385,9.03,0.531,0.921,17.5,82.2,232.4,377.2,61.8,3.43,7.47,0.268,0,459,High
25.9155,77.0699,Central,Pre-Monsoon,450,5.77,0.747,0.32,26.1,2.2,6.2,15.7,21.3,2.74,9.06,0.654,1,2261,Low
26.2978,95.8182,Northeast,Post-Monsoon,1540,2.9,0.81,0.578,28.1,31.2,100.2,259.1,38.0,2.76,13.52,0.654,1,180,Low
21.526,91.6679,East,Pre-Monsoon,127,1.44,0.537,0.422,36.3,27.2,59.6,120.3,22.3,3.61,1.14,0.436,2,1440,High
25.54,83.2643,Central,Pre-Monsoon,667,9.75,0.486,0.452,36.8,2.1,38.4,77.4,36.1,4.17,0.46,0.497,0,512,Moderate
9.0798,74.7923,South,Pre-Monsoon,756,2.59,0.533,0.407,34.3,16.7,60.8,81.8,28.1,2.84,1.09,0.792,3,562,Moderate
21.2069,73.8142,West,Monsoon,321,2.46,0.526,0.368,36.8,36.4,84.0,189.6,49.5,2.4,7.81,0.556,1,89,Moderate
30.7587,79.1438,North,Pre-Monsoon,446,2.67,0.668,0.552,9.0,33.5,98.1,240.1,28.5,2.28,9.99,0.696,1,1245,Moderate
21.5302,76.067,Central,Monsoon,584,2.21,0.893,0.63,11.3,13.5,57.6,113.6,45.2,2.48,1.31,0.438,2,392,Moderate
26.7935,92.8568,Northeast,Monsoon,239,11.45,0.326,0.99,17.4,157.8,364.8,675.8,72.5,4.79,2.16,0.042,5,64,Severe
9.193,75.6482,South,Pre-Monsoon,675,5.54,0.857,0.257,13.6,9.4,39.2,71.7,25.3,1.51,5.65,0.41,3,74,Low
25.2047,92.1576,Northeast,Winter,229,1.87,0.379,0.513,36.2,2.1,11.0,19.5,25.9,2.29,7.03,0.815,2,525,Low
25.8239,92.1212,Northeast,Monsoon,372,3.66,0.952,0.473,24.3,44.3,76.8,227.2,53.8,2.69,9.69,0.427,6,118,Moderate
23.1465,85.853,East,Pre-Monsoon,5,2.66,0.398,0.707,6.7,32.1,84.7,202.4,13.8,3.05,10.93,0.153,1,284,Moderate
14.8193,75.5144,South,Monsoon,203,8.78,0.366,0.99,2.5,93.7,222.5,519.0,65.0,3.78,5.3,0.774,2,1393,Severe
23.0585,73.0689,West,Pre-Monsoon,642,5.81,0.853,0.387,11.3,16.1,44.1,95.2,32.0,2.05,3.73,0.755,2,238,Low
27.0917,93.2198,Northeast,Post-Monsoon,1013,2.14,0.411,0.724,4.1,15.3,63.9,223.1,31.4,2.96,7.13,0.376,1,305,Low
26.7318,78.2325,North,Pre-Monsoon,5,4.41,0.175,0.581,11.3,34.1,83.0,175.4,45.9,3.18,0.34,0.255,3,922,Severe
21.4937,73.4657,West,Monsoon,483,4.76,0.811,0.67,11.2,42.5,89.1,211.4,45.9,3.16,11.83,0.266,4,354,Moderate
21.384,77.7903,Central,Winter,515,0.94,0.701,0.456,12.7,7.2,23.9,72.7,25.1,2.71,1.25,0.624,2,712,Moderate
24.2118,89.5121,East,Pre-Monsoon,55,0.45,0.64,0.384,17.2,17.0,45.5,115.6,28.7,3.05,2.2,0.546,4,464,High
22.0263,81.4385,Central,Pre-Monsoon,583,1.96,0.672,0.22,21.6,3.9,22.0,47.0,32.6,1.34,20.06,0.549,0,131,Low
22.8414,70.1356,West,Post-Monsoon,5,16.55,0.317,0.301,11.3,3.5,8.9,87.0,42.3,1.09,2.06,0.254,6,106,Low
24.2585,95.7877,Northeast,Winter,1501,3.7,0.948,0.488,2.9,11.5,36.4,47.4,24.5,2.54,4.5,0.374,3,183,Low
22.3994,82.5878,Central,Monsoon,435,1.83,0.635,0.323,15.5,6.0,45.8,114.8,40.2,1.88,6.14,0.671,4,330,Low
23.8029,91.3868,East,Post-Monsoon,116,5.29,0.825,0.597,19.3,58.7,144.5,281.0,53.4,2.93,0.93,0.785,1,631,High
25.329,79.79,Central,Pre-Monsoon,700,4.44,0.807,0.65,7.4,33.4,101.2,233.6,51.3,3.52,4.54,0.509,2,1991,Moderate
26.6286,88.7877,East,Post-Monsoon,5,2.5,0.678,0.99,39.5,140.6,260.1,495.7,71.4,4.24,11.0,0.284,1,207,Severe
8.4227,77.6482,South,Monsoon,992,6.12,0.796,0.39,6.9,28.1,104.3,184.1,53.1,3.69,17.09,0.518,2,110,Moderate
14.4793,75.5502,South,Post-Monsoon,1031,1.84,0.494,0.397,7.6,45.6,71.4,147.8,28.2,2.44,9.15,0.934,5,79,Low
24.2261,80.7089,Central,Pre-Monsoon,283,2.45,0.193,0.497,16.8,22.1,44.1,75.9,26.4,1.41,3.45,0.374,2,116,Low
29.4647,74.9226,North,Monsoon,88,3.88,0.576,0.518,8.3,40.3,78.4,193.9,52.8,2.61,4.3,0.23,0,267,Moderate
22.2703,91.7493,East,Monsoon,181,10.46,0.764,0.887,13.3,93.4,220.6,347.7,54.5,3.94,8.36,0.227,3,2017,High
11.7128,77.0953,South,Post-Monsoon,306,4.57,0.684,0.99,9.4,59.7,182.7,425.2,60.7,3.28,2.69,0.506,4,145,Severe
13.5299,76.6528,South,Post-Monsoon,468,4.59,0.175,0.443,19.7,18.9,49.9,88.0,30.7,2.1,4.94,0.45,3,92,Low
21.3081,71.345,West,Winter,130,3.86,0.467,0.397,6.4,11.0,16.4,40.0,7.4,3.0,6.17,0.715,1,1739,Moderate
31.1027,78.5313,North,Winter,299,6.56,0.195,0.328,11.7,10.7,42.0,58.9,21.1,1.53,0.4,0.628,3,540,Low
22.6434,89.1853,East,Monsoon,99,6.69,0.604,0.99,23.4,78.5,188.2,363.7,64.2,4.04,2.44,0.985,4,341,Severe
25.7111,78.184,Central,Post-Monsoon,395,1.42,0.613,0.318,6.6,11.6,52.0,96.1,20.4,2.23,1.41,0.439,4,1203,Moderate
29.0403,78.0046,North,Pre-Monsoon,184,20.96,0.555,0.319,11.7,4.5,21.7,66.5,18.4,2.38,23.33,0.587,0,127,Low
20.6995,75.2352,West,Winter,182,1.82,0.769,0.318,11.4,5.4,9.4,26.5,42.4,1.87,1.43,0.79,1,297,Moderate
25.4468,92.1824,Northeast,Post-Monsoon,1289,3.2,0.608,0.878,21.7,68.7,152.8,301.3,41.2,5.6,10.4,0.535,1,476,Moderate
31.5427,75.5879,North,Monsoon,255,4.65,0.892,0.707,4.9,53.6,107.1,286.5,50.2,1.54,12.39,0.251,0,776,Moderate
23.0942,83.6347,Central,Monsoon,336,2.28,0.716,0.99,10.8,75.0,230.4,541.2,66.2,3.36,10.54,0.514,1,579,High
24.1698,89.7082,East,Post-Monsoon,5,6.98,0.789,0.534,17.3,45.3,122.5,188.8,30.7,2.05,1.61,0.582,5,840,Moderate
23.0506,81.1533,Central,Winter,864,7.96,0.553,0.518,21.5,35.9,84.8,164.9,19.9,2.95,1.16,0.405,3,233,Low
22.3981,77.0517,Central,Winter,255,3.42,0.31,0.345,14.0,14.8,63.8,142.0,22.0,3.57,3.38,0.766,1,179,Moderate
23.1876,81.8914,Central,Monsoon,696,4.79,0.416,0.81,6.2,23.7,114.5,280.7,55.6,4.26,15.33,0.217,1,1569,High
24.1746,90.539,East,Monsoon,59,3.82,0.719,0.512,24.2,58.3,163.7,256.6,36.1,3.94,25.65,0.263,1,2249,Moderate
21.9479,69.9598,West,Winter,373,2.86,0.51,0.44,18.8,14.2,34.1,46.4,26.0,2.34,2.92,0.451,2,273,Moderate
24.9546,77.0222,Central,Post-Monsoon,86,6.79,0.481,0.335,7.5,3.4,15.5,51.8,42.1,1.94,25.47,0.425,0,410,Low
25.5121,86.3981,East,Monsoon,84,2.75,0.442,0.575,11.5,64.2,117.4,196.9,54.7,4.63,10.93,0.658,4,461,High
25.5616,88.9213,East,Post-Monsoon,98,6.22,0.688,0.456,26.3,22.8,61.2,93.2,31.4,3.53,7.73,0.403,3,275,Moderate
26.2868,76.064,North,Post-Monsoon,343,13.7,0.52,0.172,23.5,9.1,24.4,61.8,37.2,1.75,29.08,0.786,0,243,Low
27.1599,92.6554,Northeast,Post-Monsoon,398,10.52,0.202,0.241,16.1,14.7,51.5,95.9,34.2,3.48,16.45,0.894,2,2467,Low
13.9644,77.5139,South,Monsoon,698,5.47,0.493,0.99,26.5,88.0,243.5,591.1,84.7,5.31,13.78,0.669,1,160,Moderate
11.3952,76.1082,South,Winter,5,4.28,0.785,0.333,3.3,16.7,47.0,83.9,27.6,1.71,1.4,0.714,4,304,Moderate
24.4835,79.2269,Central,Winter,423,1.93,0.616,0.444,25.7,6.3,18.9,59.4,32.6,1.78,2.57,0.566,2,122,Low
19.7187,73.1278,West,Monsoon,289,6.06,0.857,0.662,18.4,33.0,133.5,180.0,57.1,4.19,22.59,0.33,1,71,Low
23.5124,75.2836,West,Pre-Monsoon,288,2.27,0.363,0.323,31.2,9.9,38.0,89.9,13.3,1.75,8.34,0.828,2,300,Low
23.4488,69.0991,West,Post-Monsoon,1006,4.96,0.721,0.347,21.3,1.2,12.3,43.8,40.4,1.71,4.11,0.845,5,1832,Low
9.1687,79.5497,South,Post-Monsoon,764,9.07,0.912,0.99,27.0,83.5,241.1,510.1,64.7,5.12,3.18,0.258,3,1535,Severe
20.0761,89.2998,East,Monsoon,238,11.94,0.816,0.962,13.9,105.3,263.6,458.7,64.0,4.45,8.56,0.558,2,418,High
24.9487,79.9297,Central,Winter,358,7.1,0.413,0.167,3.4,16.9,23.9,38.5,17.2,0.62,9.33,0.801,0,320,Low
25.1535,81.7793,Central,Pre-Monsoon,165,6.43,0.352,0.13,23.2,9.5,29.8,54.6,27.6,1.52,4.83,0.469,0,250,Low
25.3494,85.841,East,Monsoon,162,11.08,0.384,0.99,37.7,104.2,329.7,689.4,71.5,5.15,10.06,0.461,2,449,High
12.9358,79.7901,South,Winter,727,5.29,0.873,0.035,3.0,2.9,9.1,30.0,24.7,2.34,49.82,0.569,0,202,Low
31.5153,75.8864,North,Winter,164,0.95,0.928,0.307,25.2,11.7,24.1,55.8,28.3,0.6,26.33,0.35,1,798,Moderate
25.3279,93.7958,Northeast,Monsoon,5,3.71,0.722,0.99,66.9,78.2,177.5,441.3,58.3,3.41,0.92,0.595,4,163,Severe
24.2371,93.8494,Northeast,Pre-Monsoon,426,4.37,0.694,0.404,2.0,6.4,12.4,69.8,25.0,2.08,12.48,0.435,2,659,Low
24.751,94.3128,Northeast,Monsoon,331,2.73,0.753,0.99,12.7,217.5,314.9,696.9,85.8,5.12,10.22,0.796,1,1419,High
25.0251,88.1886,East,Monsoon,5,3.67,0.316,0.99,18.1,107.8,249.7,631.0,72.0,3.68,11.69,0.607,1,1095,Severe
31.8633,79.9595,North,Monsoon,360,6.63,0.508,0.99,16.6,199.5,392.9,691.1,82.1,3.94,3.52,0.177,5,151,Severe
24.1004,90.3947,East,Monsoon,5,0.93,0.762,0.613,2.4,30.8,89.5,150.9,52.2,3.94,9.69,0.477,3,347,High
26.9357,75.1023,North,Monsoon,434,7.4,0.475,0.66,5.8,38.4,126.0,276.9,65.5,1.72,3.55,0.32,2,2224,High
28.5857,78.9765,North,Post-Monsoon,334,4.29,0.347,0.468,8.9,36.1,115.1,175.2,44.3,0.98,2.5,0.386,2,431,Moderate
29.7246,77.1838,North,Post-Monsoon,471,10.19,0.845,0.123,15.2,2.4,10.0,61.5,37.5,1.31,17.58,0.429,2,502,Low
26.7084,94.6398,Northeast,Post-Monsoon,5,0.64,0.573,0.655,1.5,45.4,142.7,315.2,56.8,4.68,16.43,0.71,2,687,High
31.3594,79.2831,North,Monsoon,5,3.62,0.545,0.684,25.8,75.1,122.1,305.5,56.1,3.18,9.09,0.071,1,1605,Severe
26.9572,79.8912,North,Monsoon,197,7.24,0.549,0.54,32.3,18.1,54.2,199.4,43.3,2.08,8.27,0.51,1,147,Low
21.0215,83.9706,Central,Monsoon,247,2.76,0.348,0.847,6.8,52.5,164.8,321.1,53.2,3.11,4.71,0.732,2,1879,Severe
15.6522,76.1053,South,Winter,251,3.2,0.267,0.49,5.0,5.0,19.9,36.7,9.8,2.27,0.7,0.553,3,182,Moderate
22.1864,78.9719,Central,Monsoon,516,5.98,0.438,0.625,13.4,66.4,202.6,288.9,43.6,3.1,10.15,0.917,1,209,Low
8.2044,79.4856,South,Post-Monsoon,5,6.18,0.503,0.648,6.3,39.8,83.8,237.4,40.6,1.2,6.54,0.375,5,10407,Moderate
24.2713,81.4059,Central,Monsoon,323,6.66,0.45,0.962,13.6,50.6,125.2,427.5,68.0,4.23,21.64,0.408,2,316,Moderate
9.8157,78.7582,South,Winter,520,11.96,0.389,0.391,7.3,16.5,30.5,87.3,11.5,2.63,15.2,0.374,0,141,Low
18.4364,75.7699,West,Monsoon,207,1.39,0.34,0.68,28.8,13.3,47.6,207.5,57.9,2.54,4.82,0.15,1,141,High
14.9953,75.3567,South,Monsoon,80,2.03,0.59,0.99,39.4,98.5,359.3,638.5,69.6,5.78,12.38,0.426,3,1892,Severe
23.5007,75.1834,West,Winter,664,2.05,0.622,0.113,9.6,23.5,72.6,109.5,35.2,1.67,20.96,0.465,1,302,Low
22.2189,85.2849,East,Pre-Monsoon,86,2.73,0.276,0.403,32.0,6.2,12.6,48.4,25.5,2.8,12.75,0.702,2,1663,Moderate
19.0912,74.0055,West,Post-Monsoon,295,2.99,0.684,0.577,11.5,7.1,46.7,134.9,32.7,3.11,14.81,0.505,0,74,Low
28.0042,79.7665,North,Monsoon,507,3.4,0.312,0.99,2.3,116.8,341.8,834.6,71.6,4.47,14.97,0.857,0,97,Moderate
23.2311,81.3792,Central,Winter,178,0.41,0.497,0.212,6.0,10.2,33.1,91.6,25.9,2.12,10.25,0.742,2,889,Moderate
26.3494,87.8944,East,Post-Monsoon,121,3.71,0.413,0.701,8.3,54.7,105.1,171.6,31.7,4.0,9.71,0.601,0,276,Moderate
30.7876,79.1255,North,Pre-Monsoon,138,1.01,0.239,0.402,5.4,6.6,18.0,51.4,11.6,1.48,3.07,0.692,0,1683,Moderate
25.1675,86.02,East,Winter,199,2.19,0.659,0.528,13.6,7.9,17.2,38.8,25.9,3.13,8.31,0.456,5,615,Moderate
21.5873,77.4735,Central,Post-Monsoon,606,2.58,0.952,0.87,11.8,54.8,143.4,335.5,56.2,3.26,15.47,0.705,0,259,Low
21.801,86.2302,East,Post-Monsoon,266,3.84,0.353,0.349,22.5,25.3,41.1,76.2,37.7,3.02,7.74,0.641,3,710,Moderate
8.5582,77.3769,South,Monsoon,5,6.03,0.108,0.525,7.7,33.5,96.0,190.7,46.3,2.5,5.46,0.267,1,1256,High
